season,round,entity_type,canonical_entity_id,name,event_name,approximate_points,recorded_points,difference,absolute_difference
2022,2,driver,albon,Alexander Albon,Saudi Arabian Grand Prix,-20.0,13.0,33.0,33.0
2022,4,driver,zhou,Guanyu Zhou,Emilia Romagna Grand Prix,-25.0,8.0,33.0,33.0
2024,5,constructor,red_bull,Red Bull,Chinese Grand Prix,94.0,126.0,32.0,32.0
2024,6,constructor,mclaren,McLaren,Miami Grand Prix,20.0,50.0,30.0,30.0
2022,3,constructor,williams,Williams,Australian Grand Prix,35.0,8.0,-27.0,27.0
2023,3,constructor,alpine,Alpine,Australian Grand Prix,-16.0,11.0,27.0,27.0
2022,4,constructor,alfa,Alfa Romeo,Emilia Romagna Grand Prix,9.0,35.0,26.0,26.0
2024,4,constructor,red_bull,Red Bull,Japanese Grand Prix,82.0,108.0,26.0,26.0
2025,2,constructor,rb,Racing Bulls,Chinese Grand Prix,16.0,42.0,26.0,26.0
2023,3,driver,sargeant,Logan Sargeant,Australian Grand Prix,-20.0,5.0,25.0,25.0
2025,4,constructor,ferrari,Ferrari,Bahrain Grand Prix,48.0,73.0,25.0,25.0
2022,5,driver,leclerc,Charles Leclerc,Miami Grand Prix,27.0,50.0,23.0,23.0
2023,3,driver,de_vries,Nyck de Vries,Australian Grand Prix,-20.0,3.0,23.0,23.0
2022,2,driver,mick_schumacher,Mick Schumacher,Saudi Arabian Grand Prix,-20.0,2.0,22.0,22.0
2022,5,driver,kevin_magnussen,Kevin Magnussen,Miami Grand Prix,-20.0,2.0,22.0,22.0
2023,3,driver,kevin_magnussen,Kevin Magnussen,Australian Grand Prix,-20.0,2.0,22.0,22.0
2023,3,driver,ocon,Esteban Ocon,Australian Grand Prix,-20.0,2.0,22.0,22.0
2023,4,constructor,alphatauri,AlphaTauri,Azerbaijan Grand Prix,-1.0,-23.0,-22.0,22.0
2022,4,driver,alonso,Fernando Alonso,Emilia Romagna Grand Prix,-18.0,2.0,20.0,20.0
2023,2,constructor,williams,Williams,Saudi Arabian Grand Prix,4.000000000000001,-16.0,-20.0,20.0
2023,5,constructor,ferrari,Ferrari,Miami Grand Prix,36.0,56.0,20.0,20.0
2024,1,constructor,ferrari,Ferrari,Bahrain Grand Prix,53.0,73.0,20.0,20.0
2025,1,constructor,haas,Haas,Australian Grand Prix,34.0,14.0,-20.0,20.0
2025,4,constructor,mercedes,Mercedes,Bahrain Grand Prix,40.0,60.0,20.0,20.0
2025,5,constructor,ferrari,Ferrari,Saudi Arabian Grand Prix,44.0,64.0,20.0,20.0
2022,5,driver,stroll,Lance Stroll,Miami Grand Prix,-8.0,11.0,19.0,19.0
2023,3,driver,gasly,Pierre Gasly,Australian Grand Prix,-18.0,1.0,19.0,19.0
2025,1,constructor,sauber,Kick Sauber,Australian Grand Prix,22.0,3.0,-19.0,19.0
2022,5,constructor,alpine,Alpine,Miami Grand Prix,36.0,18.0,-18.0,18.0
2023,3,constructor,alfa,Alfa Romeo,Australian Grand Prix,44.0,26.0,-18.0,18.0
2023,4,constructor,red_bull,Red Bull,Azerbaijan Grand Prix,90.0,108.0,18.0,18.0
2025,4,driver,hamilton,Lewis Hamilton,Bahrain Grand Prix,20.0,38.0,18.0,18.0
2022,1,driver,perez,Sergio Pérez,Bahrain Grand Prix,-13.0,4.0,17.0,17.0
2022,2,constructor,williams,Williams,Saudi Arabian Grand Prix,-18.0,-1.0,17.0,17.0
2023,4,driver,ocon,Esteban Ocon,Azerbaijan Grand Prix,-10.0,7.0,17.0,17.0
2024,2,constructor,alpine,Alpine,Saudi Arabian Grand Prix,4.000000000000001,-13.0,-17.0,17.0
